player_id,goals,assists,pass_accuracy,tackles,minutes_played
p1,0,2,82.32,3,23
p100059,1,2,78.03,5,83
p100180,2,2,95.71,1,89
p10039,3,4,83.76,3,80
p100412,1,4,73.92,3,52
p100534,0,2,85.83,8,29
p10059,1,4,80.25,7,71
p100649,0,2,69.79,9,31
p10068,0,1,91.12,2,47
p10072,4,3,98.74,3,74
p10089,4,0,75.91,5,70
p101061,3,3,90.26,5,57
p10107,3,4,84.77,4,25
p101105,2,2,77.67,8,65
p101135,1,1,85.16,2,39
p10114,3,1,64.83,2,80
p101148,0,1,78.69,5,51
p101178,0,4,64.16,3,38
p101179,1,4,70.1,0,46
p101184,3,3,97.36,3,66
p101188,4,2,78.65,9,42
p10135,1,2,92.65,3,70
p101394,0,1,77.49,0,27
p10143,0,2,99.9,6,43
p101489,0,3,75.41,9,27
p101537,3,4,63.51,4,52
p10155,4,2,74.67,4,67
p101582,0,3,61.14,4,52
p1016,3,3,92.86,9,77
p101623,2,1,67.3,7,54
p101668,2,1,66.99,9,34
p1017,0,4,87.01,2,37
p1018,1,3,61.65,8,54
p1019,2,0,61.57,5,81
p101982,3,0,99.26,3,74
p102046,3,2,68.7,2,52
p102057,0,0,97.88,2,24
p10216,3,4,94.86,9,59
p102366,3,3,91.48,7,71
p102380,3,4,84.53,9,22
p1024,3,4,71.44,9,47
p1025,0,0,73.41,0,70
p102548,3,3,81.32,7,71
p1027,2,0,79.67,2,40
p10273,3,4,82.47,1,58
p102738,3,1,79.88,4,79
p10274,0,2,88.81,3,27
p102747,1,1,98.57,8,40
p10276,3,4,75.35,7,83
p10277,2,0,82.58,1,50
p1028,2,4,66.9,4,89
p102826,2,1,95.85,6,61
p102884,2,4,92.38,5,67
p1029,2,0,71.85,0,28
p1030,0,1,84.18,4,60
p103025,1,2,71.52,7,75
p103040,4,3,76.02,6,87
p1031,3,2,93.58,0,20
p103100,4,2,87.59,8,38
p103123,4,2,74.87,1,69
p103127,4,2,70.3,8,48
p10318,2,1,81.51,3,20
p103192,4,2,71.6,7,77
p1033,4,1,95.0,8,58
p1034,3,1,98.09,6,24
p10343,2,2,63.73,9,51
p10348,1,1,63.79,4,84
p103527,4,0,99.03,4,86
p10356,4,2,92.79,6,45
p1036,1,4,83.16,0,36
p10366,1,0,89.01,0,83
p10367,3,1,92.98,3,46
p10370,2,4,68.06,7,69
p1038,3,1,71.94,7,89
p1039,0,2,99.14,2,72
p103903,3,3,65.78,1,52
p103912,4,2,69.01,6,86
p103914,0,4,74.81,0,84
p103953,1,4,62.36,7,58
p103955,4,0,60.23,5,35
p104073,0,1,75.48,8,73
p10425,3,0,67.96,1,60
p1043,1,3,73.73,5,24
p10440,3,0,89.07,3,28
p10445,1,0,65.74,4,67
p10449,1,0,63.28,8,78
p1045,2,1,83.38,0,44
p10450,2,2,92.31,2,67
p10451,3,0,91.02,5,41
p10454,1,2,71.94,1,89
p104542,1,0,72.87,5,77
p104545,3,1,83.3,2,37
p104547,3,4,69.52,3,83
p1046,2,3,60.63,7,89
p10460,0,4,75.69,8,24
p10466,1,0,72.09,4,37
p1047,3,0,80.91,1,28
p1049,0,3,86.21,7,80
p10490,2,1,86.32,5,47
p104953,3,2,72.15,8,89
p1050,0,1,79.18,4,45
p105086,3,1,77.74,2,32
p105088,1,3,62.01,3,30
p1051,3,4,79.64,9,55
p105185,1,0,76.31,7,69
p105190,3,4,93.05,4,71
p1052,2,3,80.0,4,86
p105320,3,0,77.84,8,80
p105321,1,1,65.49,9,22
p105322,1,4,80.92,3,64
p105377,4,4,85.85,4,75
p1054,2,3,91.47,8,49
p10542,3,4,70.79,1,67
p10549,3,2,99.82,8,70
p10550,3,3,62.58,0,71
p1056,4,2,62.93,8,42
p10561,3,2,88.06,2,63
p105666,3,3,89.48,5,41
p1057,1,0,72.11,9,47
p105700,2,4,74.28,1,34
p10571,2,1,66.44,4,45
p105717,4,3,97.03,8,74
p10578,0,0,77.12,2,56
p105835,0,4,63.69,2,26
p10589,2,1,72.12,8,42
p1059,4,0,71.41,4,24
p10594,1,2,91.94,6,45
p1060,1,1,65.01,7,22
p10602,1,1,70.22,1,87
p10614,3,0,71.67,3,65
p1062,2,3,70.39,3,58
p106256,1,3,93.34,1,60
p1063,1,2,76.77,7,61
p106300,3,1,81.88,9,78
p1064,1,4,62.09,2,24
p106423,4,2,69.78,5,44
p106449,0,2,95.09,7,67
p106450,2,0,91.47,8,21
p106458,3,0,73.18,9,56
p1065,1,4,86.32,2,57
p1066,2,2,98.91,3,74
p106602,0,2,61.24,5,36
p106603,0,2,77.11,4,64
p106606,2,0,90.88,3,49
p106610,1,1,72.83,5,26
p106611,1,4,79.51,2,54
p106612,2,0,90.43,8,77
p106617,3,3,85.83,6,51
p106618,1,4,92.92,3,61
p1067,3,3,95.17,0,83
p106757,4,0,84.65,1,42
p106760,2,1,81.74,5,45
p106824,3,2,89.12,3,21
p106837,4,1,65.3,6,82
p106899,3,3,81.39,6,20
p1069,2,3,78.74,9,76
p10706,4,2,94.95,3,81
p10707,4,2,95.88,5,57
p107084,4,2,98.5,5,62
p10709,2,1,74.83,2,61
p1071,0,3,79.47,5,50
p10726,1,4,89.57,5,37
p107265,3,3,97.15,3,44
p10738,4,3,81.5,0,57
p10744,1,0,67.41,7,56
p10746,4,0,77.81,2,67
p107541,0,3,96.33,4,59
p1076,3,4,90.44,9,83
p107613,4,0,64.3,1,32
p1077,4,1,93.92,5,52
p10770,2,1,63.12,5,51
p10773,0,3,62.61,4,25
p10775,1,3,68.18,7,35
p10780,0,1,69.24,4,33
p107853,2,0,95.0,9,74
p10787,2,0,84.66,4,64
p1079,4,3,71.42,5,77
p10790,0,4,76.19,5,67
p10793,1,4,95.58,4,77
p10794,0,2,79.31,2,79
p10796,0,4,95.35,9,78
p10798,2,4,92.41,4,44
p10801,4,1,90.9,5,70
p10804,1,3,97.42,9,61
p108053,1,1,73.32,9,31
p108093,4,0,87.1,8,44
p1081,3,4,82.6,6,74
p10810,2,0,72.45,1,36
p10812,2,1,64.52,4,45
p108132,4,1,64.83,2,64
p10814,2,2,68.85,4,23
p108156,1,0,93.19,5,77
p10825,0,0,70.82,4,50
p1084,3,0,77.73,0,72
p108411,1,0,86.07,8,43
p108413,4,2,97.72,8,39
p108416,1,3,67.89,3,56
p108438,0,3,67.92,2,66
